imdb_title_id,title,director
tt0015400,Il ladro di Bagdad,Raoul Walsh
tt0015493,L'ombra bianca,Graham Cutts
tt0015498,Arance selvatiche,King Vidor
tt0015500,Il vino della giovinezza,King Vidor
tt0015518,Yolanda,Robert G. Vignola
tt0015532,Le avventure del principe Achmed,"""Lotte Reiniger, Carl Koch"""
tt0015624,La grande parata,"""King Vidor, George W. Hill"""
tt0015634,Body and Soul,Oscar Micheaux
tt0015643,Braveheart,Alan Hale
tt0015648,La corazzata Potemkin,Sergei M. Eisenstein
tt0015684,The Circle,Frank Borzage
tt0015687,Clash of the Wolves,Noel M. Smith
tt0015693,Cobra,Joseph Henabery
tt0015758,Don Q Son of Zorro,Donald Crisp
tt0015768,L'angelo del focolare,Carl Theodor Dreyer
tt0015772,Aquila nera,Clarence Brown
tt0015794,Il fantasma del Moulin Rouge,René Clair
tt0015801,Il fu Mattia Pascal,Marcel L'Herbier
tt0015841,Viva lo sport,"""Fred C. Newmeyer, Sam Taylor"""
tt0015842,La via senza gioia,Georg Wilhelm Pabst
tt0015847,Furusato no uta,Kenji Mizoguchi
tt0015861,La fidanzata di Glomdal,Carl Theodor Dreyer
tt0015863,Io e la vacca,Buster Keaton
tt0015864,La febbre dell'oro,Charles Chaplin
tt0015872,The Goose Woman,Clarence Brown
tt0015881,Rapacità,Erich von Stroheim
tt0015883,Gribiche,Jacques Feyder
tt0015909,Her Sister from Paris,Sidney Franklin
tt0015935,El húsar de la muerte,Pedro Sienna
tt0016004,Il ventaglio di Lady Windermere,Ernst Lubitsch
tt0016005,Lady of the Night,Monta Bell
tt0016006,The Lady,Frank Borzage
tt0016013,Lazybones,Frank Borzage
tt0016023,Lights of Old Broadway,Monta Bell
tt0016028,Little Annie Rooney,William Beaudine
tt0016029,Il piccolo colonnello,David Butler
tt0016039,Un mondo perduto,Harry O. Hoyt
tt0016104,La vedova allegra,Erich von Stroheim
tt0016123,The Monster,Roland West
tt0016142,The Mystic,Tod Browning
tt0016185,Orochi,Buntarô Futagawa
tt0016201,Parisian Love,Louis J. Gasnier
tt0016205,Paths to Paradise,Clarence G. Badger
tt0016220,Il fantasma dell'opera,"""Rupert Julian, Lon Chaney"""
tt0016226,The Plastic Age,Wesley Ruggles
tt0016230,Il labirinto delle passioni,Alfred Hitchcock
tt0016232,Poil de carotte,Julien Duvivier
tt0016240,Prem Sanyas,"""Franz Osten, Himanshu Rai"""
tt0016241,Pretty Ladies,Monta Bell
tt0016258,The Rag Man,Edward F. Cline
tt0016276,The Red Kimona,"""Walter Lang, Dorothy Davenport"""
tt0016288,Riders of the Purple Sage,Lynn Reynolds
tt0016294,The Road to Yesterday,Cecil B. DeMille
tt0016308,Zingaresca,D.W. Griffith
tt0016309,"""Sally, Irene and Mary""",Edmund Goulding
tt0016310,The Salvation Hunters,Josef von Sternberg
